name,description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
fi_sig,Filipino Significant? (Yes/No),X,X,X,X,X,X,X,,,,,,,
fi_sig,Filipino Significant Both Years Both Years? (Yes/No),,,,,,,,X,X,X,X,X,X,X
fi_targ,[Last year Range] Filipino Subgroup Growth Target,X,X,X,X,X,X,X,X,X,X,X,X,,
fi_targ,[Last year Range] Filipino Growth Target,,,,,,,,,,,,,X,X
flag,Flag Values,X,X,X,X,X,X,X,X,X,X,X,X,X,X
full,Percent Teachers at this School with Full Credentials,,,,,X,X,X,X,X,X,X,X,X,X
full,Percent Teachers at This School with Full Credentials,X,X,X,X,,,,,,,,,,
grad_sch,Parent Ed Level: Percent Graduate School,X,X,X,X,X,X,X,X,X,X,X,X,X,X
growth,[Last year Range] API Growth,,X,X,X,,,,,,,,,,
growth,"[Last year Range] API Growth,""B,"" ""C,"" (B=School did not have a valid [Last Year] API Base and there is no Growth or target information,C=School had significant demographic changes and there is no Growth or target information.)",,,,,,X,X,,,,,,,
growth,[This Year] API Growth,X,,,,,,,,,,,,,
growth,"[Last year Range] API Growth, ""B,"" ""C,"" (B= School did not have a valid [Last Year] API Base and there is no Growth or target information, C = School had significant demographic changes and there is no Growth or target information.)",,,,,,,,,,X,X,X,X,X
growth,"[Last year Range] API Growth, ""B,"" ""C,"" (B=School did not have a valid [Last Year] API Base and there is no Growth or target information, C=School had significant demographic changes and there is no Growth or target information.)",,,,,,,,X,X,,,,,
growth,[Last year Range] API Growth (D=School had significant demographic changes and there is no Growth information.),,,,,X,,,,,,,,,
hi_api_base,[Last Year] Hispanics API (Base),X,X,X,X,X,X,X,X,X,X,,,,
hi_api_base,[Last Year] Hispanic or Latino API (Base),,,,,,,,,,,X,X,X,X
hi_api_growth,[This Year] Hispanic or Latino API (Growth),,,,,,,,,,,X,X,X,X
hi_api_growth,[This Year] Hispanics API (Growth),X,X,X,X,X,X,X,X,X,X,,,,
hi_grow,[Last year Range] Hispanic or Latino API Growth,,,,,,,,,,,,,X,X
hi_grow,200-[This Year] Hispanic or Latino Subgroup API Growth,,,,,,,,,,,X,,,
hi_grow,[Last year Range] Hispanic or Latino Subgroup API Growth,,,,,,,,,,,,X,,
hi_grow,[Last year Range] Hispanics Subgroup API Growth,X,X,X,X,X,X,X,X,X,X,,,,
hi_met,Met Hispanic or Latino Growth Target,,,,,,,,,,,,,X,X
hi_met,Met Hispanic or Latino Subgroup Growth Target,,,,,,,,,,,X,X,,
hi_met,Met Hispanic Subgroup Growth Target,X,X,X,X,X,X,X,X,X,X,,,,
hi_num,Number of Hispanic or Latino included in API,,,,,,,,,,,X,X,X,X
hi_num,Number of Hispanics included in API,X,X,X,X,X,X,X,X,X,X,,,,
hi_sig,Hispanics Significant? (Yes/No),X,X,X,X,X,X,X,,,,,,,
hi_sig,Hispanic or Latino Significant Both Years Both Years? (Yes/No),,,,,,,,,,,X,X,X,X
hi_sig,Hispanics Significant Both Years Both Years? (Yes/No),,,,,,,,X,X,X,,,,
hi_targ,[Last year Range] Hispanics Subgroup Growth Target,X,X,X,X,X,X,X,X,X,X,,,,
hi_targ,[Last year Range] Hispanic or Latino Subgroup Growth Target,,,,,,,,,,,X,X,,
hi_targ,[Last year Range] Hispanic or Latino Growth Target,,,,,,,,,,,,,X,X
hsg,Parent Ed Level: Percent High School Graduate,X,X,X,X,X,X,X,X,X,X,X,X,X,X
id,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
iep,Number of Students Excused from Testing by Individualized Education Program Statement,X,X,X,X,,,,,,,,,,
irg5,Testing irregularities greater than zero but less than 5 percent (Y=Yes),,,,,,,,X,X,X,X,X,X,X
